sentence,label
So there is no way for me to plug it in here in the US unless I go by a converter,0
Tied to charger for conversations lasting more than 45 minutes  MAJOR PROBLEMS,0
I have to jiggle the plug to get it to line up right to get decent volume,0
"If you have several dozen or several hundred contacts  , then imagine the fun of sending each of them one by one",0
"Needless to say  , I wasted my money",0
What a waste of money and time,0
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset,0
"The design is very odd , as the ear clip is not very comfortable at all",0
I advise EVERYONE DO NOT BE FOOLED,0
It clicks into place in a way that makes you wonder how long that mechanism would last,0
"I went on Motorola  's website and followed all directions  , but could not get it to pair again",0
The commercials are the most misleading,0
I bought it for my mother and she had a problem with the battery,0
I did  n't think that the instructions provided were helpful to me,0
People couldnt hear me talk and I had to pull out the earphone and talk on the phone,0
Does  n't hold charge,0
"This is a simple little phone to use , but the breakage is unacceptible",0
It is unusable in a moving car at freeway speed,0
I have two more years left in this contract and I hate this phone,0
You need at least 3 mins to get to your phone book from the time you first turn on the phoneBattery life is short,0
Poor Talk Time Performance,0
worthless product,0
I was not impressed by this product,0
I only hear garbage for audio,0
Who in their right mind is gonna buy this battery,0
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS,0
Disappointed with battery,0
Not loud enough and does  n't turn on like it should,0
VERY DISAPPOINTED,0
The buttons for on and off are bad,0
Essentially you can forget Microsoft 's tech support,0
Buy a different phone but not this,0
You have to hold the phone at a particular angle for the other party to hear you clearly,0
The one big drawback of the MP3 player is that the buttons on the phone  's front cover that let you pause and skip songs lock out after a few seconds,0
"A week later after I activated it , it suddenly died",0
Mic Does n't work,0
"Even in my BMW 3 series which is fairly quiet , I have trouble hearing what the other person is saying",0
Do Not Buy for D807 wrongly advertised for D807,0
I purchased this and within 2 days it was no longer working,0
Not a good bargain,0
The battery runs down quickly,0
"This item worked great , but it broke after 6 months of use",0
The construction of the headsets is poor,0
"For a product that costs as much as this one does , I expect it to work far better and with greater ease than this thing does",0
The ear buds only play music in one ear,0
Dont waste your money,0
If you plan to use this in a car forget about it,0
I found this product to be way too big,0
I 'm very disappointed with my decision,0
"Buyer Beware , you could flush money right down the toilet",0
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger,0
"That 's a huge design flaw unless I 'm not using it correctly , which I do n't think is the case",0
"The camera , although rated at an impressive 13 megapixels , renders images that fall well below expectations of such a relatively high resolution",0
I purcashed this for the car charger and it does not work,0
i got this phone around the end of may and i 'm completely unhappy with it,0
Could not get strong enough signal,0
Bad Quality,0
Basically the service was very bad,0
it did not work in my cell phone plug i am very up set with the charger,0
The BT headset was such a disapoinment,0
Buyer Be Very Careful,0
The majority of the Logitech earbud headsets failed,0
In my house I was getting dropped coverage upstairs and no coverage in my basement,0
What a waste,0
"During several different 2 minute calls , I experienced 5 drops and it was in an area that had 5 bars",0
I was not happy with this item,0
very disappointed,0
The phone takes FOREVER to charge like 2 to 5 hours literally,0
What a waste of time,0
Its reception is very very poor,0
Items stated as included from the description ARE NOT INCLUDED,0
"After 3 months , screen just went black all of a sudden",0
I Was Hoping for More,0
"Audio Quality is poor , very poor",0
I 've bought 5 dollars wired headphones that sound better than these,0
"All I can do is whine on the Internet , so here it goesThe more I use the thing the less I like it",0
This is essentially a communications tool that does not communicate,0
"I still maintain that monkeys should n't make headphones , we just obviously do n't share enough DNA to copy the design over to humans",0
Does n't work at all I bougth it for my son and it 's not working,0
does n't last long,0
One thing I hate is the mode set button at the side,0
Thank you for wasting my money,0
How can that be ? The audio quality is poor,0
"I put the latest OS on it , and it now likes to slow to a crawl and lock up every once in a while",0
It only recognizes the Phone as its storage device,0
"If you like a loud buzzing to override all your conversations , then this phone is for you",0
Do n't buy this product,0
I 've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear,0
"I have this phone and it is a thorn in my side , I really abhor it",0
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected,0
Design Flaw,0
Waste of 13 bucks,0
"But when I check voice mail at night , the keypad backlight turns off a few seconds into the first message , and then I 'm lost",0
The replacement died in a few weeks,0
I have had problems wit hit dropping signal and more,0
Not impressed,0
Bad Choice,0
The pleather case does n't fit,0
"useless phone , simply deaf",0
It makes very strange ticking noises before it ends the call,0
Battery lasts only a few hours,0
We are sending it back,0
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway,0
"If you hate earbugs , avoid this phone by all means",0
"I also did n't like the on button , it felt like it would crack with use",0
WORST PHONE EVER,0
Freezes frequently,0
It 's kind of embarrassing to use because of how it looks and mostly it 's embarrassing how childlike the company is,0
"All in all , I 'd expected a better consumer experience from Motorola",0
There 's a horrible tick sound in the background on all my calls that I have never experienced before,0
I 'm a bit disappointed,0
"I have had this phone for over a year now , and I will tell you , it 's not that great",0
I ordered this for sony Ericsson but I think it only worked once thats when I first used it,0
The battery is completely useless to me,0
What a big waste of time,0
Do n't waste your money on this one,0
Do not make the same mistake as me,0
Big Disappointment with calendar sync,0
the phone was unusable and was not new,0
Worst Customer Service Ever,0
"No additional ear gels provided , and no instructions whatsoever",0
It defeats the purpose of a bluetooth headset,0
Internet is excrutiatingly slow,0
This product had a strong rubber or petroleum smell that was unbearable after a while and caused me to return it,0
poor quality and service,0
"The cable looks so thin and flimsy , it is scary",0
Absolutel junk,0
THAT one did n't work either,0
Returned 8 hours later,0
Do n't waste your money,0
"Not only will it drain your player , but may also potentially fry it",0
Unreliable  I 'm giving up,0
Avoid this one if you can,0
I wasted my little money with this earpiece,0
"First of all , it does n't wear well",0
I would n't recommend buying this product,0
Piece of Junk,0
Poorly contstruct hinge,0
Do n't buy it,0
DO NOT PURCHASE THIS PHONE,0
Customer service was terrible,0
Battery life still not long enough in Motorola Razor ,0
Sending it back,0
"As many people complained , I found this headset 's microphone was very weak",0
My 5 year old Nokia 2160 from Tracfone holds the charge a lot better than this,0
They do not care about the consumer one bit,0
The instruction manual is lacking,0
The battery is unreliable as well as the service use antena,0
It 's uncomfortable and the sound quality is quite poor compared with the phone Razr or with my previous wired headset that plugged into an LG,0
I want my money back,0
I ordered this product first and was unhappy with it immediately,0
The Ngage is still lacking in earbuds,0
"I have 3 bars on my cell phone when I am home , but you cant not hear anything",0
"However the riingtones are not the best , and neither are the games",0
The plug did not work very well,0
AMAZON SUCKS,0
Rip off Over charge shipping,0
1 long lasting battery you do n't have to recharge it as frequently as some of the flip phones,0
Obviously there is a problem with the adhesive,0
Very disappointing,0
"It was an inexpensive piece , but I would still have expected better quality",0
It is practically useless and did not add any kind of boost to my reception after I bought it,0
Was not happy,0
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS,0
Worst customer service,0
Reception is terrible and full of static,0
"I was sitting in my vehicle , with the cradle on my belt , and the headset lost signal",0
Were JERKS on the phone,0
Their network coverage in Los Angeles is horrible,0
Excellent starter wireless headset,0
"The loudspeaker option is great , the bumpers with the lights is very  appealing",0
The only thing that I think could improve is the sound leaks out from the headset,0
"First off the reception sucks , I have never had more than 2 bars , ever",0
The phone gets EXTREMELY HOT,0
"Also , if your phone is dropped , this case is not going to save it , specially when dropped face down",0
"bad fit , way too big",0
Waste of money,0
"I 'll be drivng along , and my headset starts ringing for no reason",0
The worst phone I 've ever had Only had it for a few months,0
Not a good item It worked for a while then started having problems in my auto reverse tape player,0
